cycle_countBattery_health,SOH
153.6952902,98.81547917
153.6952902,98.71112141
153.6952902,98.60676365
153.6952902,98.50240589
153.6952902,98.39804812
153.6952902,98.29369036
153.6952902,98.1893326
153.6952902,98.08497483
153.6952902,97.98061707
153.6952902,97.87625931
153.6952902,97.77190155
153.6952902,97.66754378
153.6952902,97.56318602
153.6952902,97.45882826
153.6952902,97.35447049
153.6952902,97.25011273
153.6952902,97.14575497
153.6952902,97.04139721
153.6952902,96.93703944
153.6952902,96.83268168
153.6952902,96.72832392
157.861797,98.71112141
157.861797,98.60676365
157.861797,98.50240589
157.861797,98.39804812
157.861797,98.29369036
157.861797,98.1893326
157.861797,98.08497483
157.861797,97.98061707
157.861797,97.87625931
